,Product Index,Product Name,Product Specification,Product Brand Number,Product Price
51,H5912001_S_VI0012-be,V15 Pro  6+128GB-藍（香港行貨）,128GB,3151,3199.0
52,H0972006_S_000163,5.7吋全屏智能手機 K320t (黑色),None,3301,899.0
53,H6588001_S_OP6t_8_128MirBlk,OnePlus 6t 8GB+128GB  亮瓷黑色 平行進口 中國版,8GB+128GB,2651,3299.0
54,H0775012_S_htcu12ltwp,U12 Life 暮光紫 (4GB RAM + 64GB ROM),4GB+64GB,2201,1888.0
55,H6588001_S_Vivo_iQOO_8_128_Blue,iQOO 8GB+128GB 藍色 平行進口 中國版,8GB+128GB,3151,3599.0
56,H6588001_S_Samsung_A70_6_White,Galaxy A70 6GB+128GB 白色 香港行貨,6GB+128GB,3351,2699.0
57,H6588001_S_Samsung_S10P_512_White,Galaxy S10+ 8GB+512GB 陶瓷白色 香港行貨,8GB+512GB,3351,7599.0
58,H0972006_S_Honor_10_Black,HONOR 10 AI 雙鏡頭拍攝手機 (128GB) (原裝行貨) (幻夜黑),128GB,3201,1999.0
59,H5393001_S_1001277,8110 4G LTE 雙卡雙核2MP 手提智能電話 - 黑色（平行進貨）,4G+2M,2451,579.0
60,H5912001_S_LG0011-pr,Q6+ M700DSN Black 64GB-紫（香港行貨）,64GB,1901,1599.0
61,H5300001_S_AXMM1903C3EG2-32GBMBK,紅米 7A 32GB 磨砂黑（平行進口）,32GB,3101,899.0
62,H5912001_S_Xa0015_bk,A1 32GB（黑色）（平行進口）,32GB,3101,1599.0
63,H5300001_S_AXMM1901F7E4-64GBBK,紅米 Note 7 4GB+64GB 亮黑色（平行進口）,4GB+64GB,3101,1499.0
64,H0762001_S_NS13A1HK087P-140160099,(13.3 Pentium N4200 4GB RAM 128GB SSD Win10) AVITA Liber 13.3 筆記型電腦,4GB+128GB,851,2898.0
65,H5300001_S_AHUJAT-AL003-32GBBK,Honor 8A 3GB+32GB 黑色（平行進口）,3GB+32GB,3201,899.0
66,H6725001_S_iSE_W_64_1_U,"iPhone SE - 64GB, 二手9成9新 (100%正常運作)(平行進口)",64GB,3251,1580.0
67,H6588001_S_Nova_4_Blue,Nova 4 8GB+128GB 藍色 香港行貨,8GB+128GB,3201,2599.0
68,H6588001_S_Huawei_Y7_Pro_2019_Red,Y7 Pro 2019 3GB+32GB 珊瑚紅 香港行貨,3GB+32GB,3201,1549.0
69,H6588001_S_OP6_8_128_White,OnePlus 6 8GB+128GB 白色 平行進口 中國版,8GB+128GB,2651,2999.0
70,H5912001_S_OP0010,ONE PLUS 7 Pro 8+256GB-黑（平行進口）,256GB,2401,4888.0
71,H0610012_S_241-75-A00061-1,紅米 6 金色 4G 64G Rom (香港行貨，小米1年保養),4G+64G,3101,999.0
72,S1076001_S_193268301191,LENOVO IP S530-13IWL 手提筆記型電腦,None,3301,6680.0
73,H6588001_S_Samsung_A70_8_Black,Galaxy A70 8GB+128GB 黑色 香港行貨,8GB+128GB,3351,3049.0
74,H6725001_S_i7_R_32_3A_U,"iPhone 7 - 32GB, 二手9成新 (100%正常運作)(平行進口)",32GB,3251,2110.0
75,H6588001_S_Huawei_P30_Black,P30 8GB+128GB 黑色 香港行貨,8GB+128GB,3201,4099.0
76,H0762001_S_NP530XBB-K02HK-800160053,"NOTEBOOK FLASH 13.3"" Pentium N5000 筆記簿型電腦 NP530XBB-K02HK",None,3351,3798.0
77,H6725001_S_i6_W_16_3A_U,"iPhone 6 - 16GB, 二手9成新 (100%正常運作)(平行進口)",16GB,3251,1240.0
78,H5683002_S_P2224,938SP 10寸通話平板電腦,None,1801,1280.0
79,H6588001_S_Samsung_S10_128_White,Galaxy S10 8GB+128GB 幻鑽白色 香港行貨,8GB+128GB,3351,5099.0
80,H6588001_S_Oneplus_7_8_256_Black,OnePlus 7 8GB+256GB 曜岩灰色 平行進口 中國版,8GB+256GB,2651,3399.0
81,H5300001_S_ALGV405EBW6-128GBNPGY,V40 ThinQ 6GB+128GB 鉑鋼灰（平行進口）,6GB+128GB,1901,3799.0
82,H6800001_S_BGT0026,安博科技 UPAD PRO 4G（送套）,4G,1151,1480.0
83,H5300001_S_AAEIPA1723128GBGD,iPhone SE A1723 128GB 金色（平行進口）,128GB,3251,2699.0
84,H0800001_S_E558K503B,"E558K503B 日本制造15.6""全高清 手提電腦 i5-8250U 8GB 256GB SSD WIN10 Home",8GB+256GB,2551,6500.0
85,H6588001_S_OnePlus_7_8_256_NebulaBlue,OnePlus 7 Pro 8GB+256GB 星霧藍色 平行進口 中國版,8GB+256GB,2651,4899.0
86,H6588001_S_Samsung_S10P_128_Black,Galaxy S10+ 8GB+128GB 幻鑽黑色 香港行貨,8GB+128GB,3351,6049.0
87,H6588001_S_Samsung_S10_128_Green,Galaxy S10 8GB+128GB 幻鑽綠色 香港行貨,8GB+128GB,3351,5099.0
88,H6588001_S_HTC_U12P_Black,U12+ 6GB+128GB 黑色 香港行貨,6GB+128GB,2201,3999.0
89,H0775001_S_30151GY,"ZenFone 3 Max 5.5"" ZC553KL (灰)(平行進口)",None,2751,599.0
90,H6588001_S_Samsung_A70_6_Black,Galaxy A70 6GB+128GB 黑色 香港行貨,6GB+128GB,3351,2699.0
91,H6588001_S_Vivo_V15Pro_Blue,V15 Pro 6GB+128GB 水晶藍色 香港行貨,6GB+128GB,3151,3199.0
92,H5300001_S_FXMM1806D9E464GBGD4,"小米平板 4 8.0"" LTE（一年保養）4+64GB 金色",64GB,3101,1799.0
93,H5300001_S_FSAT510232GBBK,"Galaxy Tab A 10.1 "" WiFi T510 2GB+32GB 黑色（平行進口）",2GB+32GB,3351,1799.0
94,H6588001_S_Samsung_TabS6_WiFi_128_GY,Tab S6 6GB+128GB Wi-Fi 平板電腦 T860 灰色 香港行貨,6GB+128GB,3351,4999.0
95,H5300001_S_FSAT5152-32GBBK,"Galaxy Tab A 10.1 "" LTE T515 2GB+32GB 黑色（平行進口）",2GB+32GB,3351,2099.0
96,H0762001_S_Galaxy-Tab-S5e-LTE-T725-800670050,Galaxy Tab S5e (LTE) (T725),None,3351,4148.0
97,H5912001_S_T0046,MediaPad M5 lite 平板 4+64GB（香港行貨）,64GB,3201,2548.0
98,H0762001_S_Galaxy-Tab-S5e-Wifi-T720-800670048,Galaxy Tab S5e (Wi-Fi),None,3351,3598.0
99,H5023002_S_LQJ-00022,Surface Pro 6 8代i7 16G 512 SSD 二合一平板電腦 Windows 10 專業版 (LQJ-00022) 送 實體鍵盤保護蓋,16G,651,14999.0
100,H5023002_S_LQJ-00022,Surface Pro 6 8代i7 16G 512 SSD 二合一平板電腦 Windows 10 專業版 (LQJ-00022) 送 實體鍵盤保護蓋,16G,651,14999.0
101,H5300001_S_FHUKOB-L0932GBGD4,"Honor Pad 2 8.0"" LTE（一年保養）32GB 金色",32GB,3201,1399.0
102,H5300001_S_FSAT7204-64GBBK,"Galaxy Tab S5e 10.5"" Wi-Fi T720 4GB+64GB 黑色（平行進口）",4GB+64GB,3351,3299.0
103,H6588001_S_Samsung_TabS5e_wifi_128GB_Silver,Tab S5e 6GB+128GB WiFi 銀色 香港行貨,6GB+128GB,3351,3772.0
104,H6588001_S_Huawei_M5_Lite_Grey,M5 Lite Wi-Fi 4GB+64GB 平板電腦 灰色 香港行貨,4GB+64GB,3201,2449.0
105,H5300001_S_FSAT7254-64GBS,"Galaxy Tab S5e 10.5"" LTE T725 4GB+64GB 銀色（平行進口）",4GB+64GB,3351,3799.0
106,H5300001_S_FHUAGS-L0932GBGD4,"Honor Pad 2 9.6"" LTE 3GB+32GB 金色（平行進口）",3GB+32GB,3201,1499.0
107,S1235001_S_GS70101,行貨 最新15.6吋 4K UHD 超高清窄邊框可攜式 USB3.1 Type-C 一線通 供電螢幕 GS156UM 保養一年,None,951,2765.0
108,H6588001_S_Samsung_TabA_8_SPen_LTE_Black,Galaxy Tab A 8 with S Pen 3GB+32GB LTE 黑色 香港行貨,3GB+32GB,3351,2399.0
109,H5300001_S_FXMM1806D9W64GBBK4,"小米平板 4 8.0"" Wi-Fi 64GB 黑色（平行進口）",64GB,3101,1699.0
110,H5300001_S_FXMM1806D9E464GBBK4,"小米平板 4 8.0"" LTE（一年保養）4+64GB 黑色",64GB,3101,1799.0
111,H5023001_S_80Y7000NHH,Yoga 920 8代 i5 8G (80Y7000NHH) - 開箱機,8G,3301,8099.0
112,H5023001_S_80Y7000NHH,Yoga 920 8代 i5 8G (80Y7000NHH) - 開箱機,8G,3301,8099.0
113,H6588001_S_Samsung_TabS6_WiFi_256_GY,Tab S6 8GB+256GB Wi-Fi 平板電腦 T860 灰色 香港行貨,8GB+256GB,3351,5699.0
114,H6588001_S_Huawei_M5_Gold,M5 LTE 4GB+64GB 平板電腦 金色 香港行貨,4GB+64GB,3201,2899.0
115,H5300001_S_FXMM1806D9W64GBGD,"小米平板 4 8.0"" Wi-Fi 64GB 金色（平行進口）",64GB,3101,1699.0
116,S1235001_S_GS70102,行貨 最新15.6吋輕觸式 4K UHD超高清窄邊框可攜式 USB3.1 Type-C 一線通 供電螢幕 GS156UT 保養一年,None,951,3265.0
117,H5023002_S_ZA2J0063HK,Lenovo TAB4 10 WIFI (TB-X304F) (2G+16G)  (ZA2J0063HK) - 全新機,2G+16G,3301,1599.0
118,H0775001_S_TB_X705F,智能平板 P10 (TB-X705F WIFI) 黑色,None,3301,2299.0
119,H6795001_S_Kamvaspro20,Kamvas Pro 20,None,1401,5299.0
120,H5912001_S_T0033_bk,"TAB 4 8"" PLUS LTE 64GB 8704X-白(香港行貨)",64GB,3301,1699.0
121,H5912001_S_T0043_bk,平板4 8英寸平板電腦WIFI版 4G+64GB（平行進口）,4G+64GB,3101,1899.0
122,H0775001_S_TB_X605L,智能平板 M10 (TB-X605L LTE) 黑色,None,3301,1999.0
123,H5189001_S_Alldocube-M8-32GB,Alldocube M8 32GB,32GB,1851,1099.0
124,H5189001_S_Alldocube-M5X-64GB,Alldocube M5X 64GB,64GB,1851,1499.0
125,H6800001_S_BGT0027,安博科技 UPAD PRO 4G (台灣版),4G,1151,1680.0
126,H5300001_S_FHUAGS2-AL00HN4-64GBB,"Honor Pad 5 10.1"" LTE (全網通版) 4GB+64GB 藍色（平行進口）",4GB+64GB,3201,1999.0
127,H0972006_S_cube_x_64gb,X (64GB) (2.5K Super AMOLED 平板電腦) (原裝行貨),64GB,601,2299.0
128,H6795001_S_HS610,HS610,None,1401,889.0
129,S1076001_S_191376165018,"LENOVO TB-8504F TAB4 8""HD WIFI 平板電腦-BLACK",None,3301,1224.0
130,H6795001_S_Q11v2,INSPIROY Q11K V2,None,1401,1179.0
131,H6588001_S_Samsung_TabS4_LTE_64GB_Black,Tab S4 4GB+64GB LTE 黑色 香港行貨,4GB+64GB,3351,5199.0
132,S1076001_S_192940573567,LENOVO TAB M10 Qualcomm Snapdragon 平板電腦 SLATE BACK LTE,None,3301,2499.0
133,S1076001_S_191376403783,Lenovo TB-8704X TAB 4 8 Plus LTE (ZA2F0051HK) 平板電腦,None,2501,2499.0
134,H0972006_S_RG910,RG910 - IP68防水防塵認證 / MIL-STD 810G防摔 / 可戴上手套或濕手操作平板電腦,810G,701,5999.0
135,S1076001_S_192651498104,LENOVO TB-X705L TAB P10 LTE 平板電腦 BLACK,None,3301,2699.0
136,H0762001_S_Tab-S4-Wifi-T830-256GB-BK-800670038,Galaxy Tab S4 WiFi 256GB - 黑色,256GB,3351,4948.0
137,H5189001_S_Alldocube-X-128GB,Alldocube X 128GB,128GB,1851,2399.0
138,H6588001_S_Samsung_TabS4_LTE_64GB_Gray,Tab S4 4GB+64GB LTE 灰色 香港行貨,4GB+64GB,3351,5199.0
139,H6795001_S_kamvaspro22,Kamvas Pro 22,None,1401,7299.0
140,H0972006_S_iplay10pro,iPlay10 Pro 10.1英寸大屏娛樂平板電腦2019新款,None,1851,899.0
141,H5189001_S_Alldocube-iPlay7T,Alldocube iPlay 7T,None,1851,899.0
142,H5189001_S_Alldocube-iPlay10pro,Alldocube iPlay 10 Pro,None,1851,900.0
143,H0762001_S_Tab-S4-Wifi-T830-64GB-GY-800670036,Galaxy Tab S4 WiFi 64GB - 灰色,64GB,3351,4098.0
144,G5031001_S_MW742,"10.2-inch iPad Wi-Fi (2019), 32GB - 大空灰 #HK行貨",32GB,3251,2599.0
145,G5031001_S_MW772,"10.2-inch iPad Wi-Fi (2019), 128GB - 太空灰 #HK行貨",128GB,3251,3399.0
146,G5031001_S_MW6E2,10.2-inch iPad Wi-Fi + Cellular (2019) 128GB - 太空灰 #HK行貨,128GB,3251,4399.0
147,H0762001_S_Acer-SF515-51T-570G-007160305,"Swift 5 筆記型電腦 (15.6"", i5-8265U, 8GB RAM, 256GB SSD, Win 10) SF515-51T-570G",8GB+256GB+570G,3001,7498.0
148,H0762001_S_NP530XBB-K01HK-WH,"NOTEBOOK FLASH 13.3"" Pentium N5000 筆記簿型電腦 NP530XBB-K01HK",None,3351,3798.0
149,G5031001_S_MRE82ZP,"13-inch MacBook Air, 1.6ghz i5, 128GB (2018), 太空灰 #HK VER.",128GB,3251,7380.0
150,H0762001_S_Acer-SF314-56G-58MJ-007160312,"Swift 3 筆記型電腦 (14"", i5-8265U, 8GB RAM, 256GB SSD, 1TB HDD, MX250, Win 10) SF314-56G-58MJ",8GB+256GB+56G+58M,3001,5798.0
151,H6997001_S_Lenovo_T430,"Lenovo i7 ThinkPad T430 14"" i7-3540m / 8G ram / 256 SSD / Window 10 吋手提電腦 [官方翻新品]",8G,2501,4400.0
152,H0762001_S_Acer-SF514-53T-505N-007160300,"Swift 5 筆記型電腦 (14"", i5-8265U, 8GB RAM, 256GB SSD, Win 10) SF514-53T-505N",8GB+256GB,3001,6898.0
153,G5031001_S_APPMBA256_MRE92,"MacBook Air 13-inch, 1.6GHz dual-core Intel Core i5, 256GB (2018 年), 太空灰 #HK行貨",6G+256GB,3251,8680.0
154,S1076001_S_192940985186,LENOVO IP S130-14IGM (81J2001AHH) 手提筆記型電腦,None,3301,3223.0
155,H6997001_S_LENOVO_I5_T430,"Lenovo 聯想 ThinkPad T430 i5-3320M CPU 8GB RAM, 320GB HD 手提電腦 notebook computer [官方認證翻新機]",3320M+8GB+320GB,2501,2950.0
156,H0661001_S_NBOHPA-14-ce1030TX,Pavilion 14-ce1030TX 5MX31PA#AB5- Pale Gold,5M,2001,5388.0
157,H5023002_S_81MU00B7HH,IdeaPad S145 14吋 i5 8G 256 SSD 手提電腦 (81MU00B7HH),8G+81M,3301,4899.0
158,H5023002_S_81F4007BHH,IdeaPad 330s 14吋 8代i7 纖巧幼邊筆記型電腦 (81F4007BHH) - 全新機,None,3301,7498.0
159,H0762001_S_NP530XBB-K03HK-800160054,"NOTEBOOK FLASH 13.3"" Pentium N5000 筆記簿型電腦 NP530XBB-K03HK",None,3351,3798.0
160,H6934001_S_XPS15-7590-R1740H-S-W10,XPS15-7590-R1740H-S-W10,None,2951,16999.0
161,S1076001_S_31P90K800CVHH,LENOVO IDEACENTRE 510S-07ICB (90K800CVHH) 桌上型電腦      ,None,3301,5999.0
162,H6603001_S_A315_54_33GC_NXHEFCF001,"A315 15.6"" FHD i3-8145u 8G 128G+1TB SHARE Win10 Home",8G+128G,3001,3899.0
163,H0800001_S_S937K501W,"LIFEBOOK S937K501 白色 日本制造手提電腦 13.3"" FHD i5 8GB 256GB WIN10 Pro 1.19Kg",8GB+256GB,2551,7998.0
164,H0800001_S_E558X503B1,"E558X503B1 日本制造15.6""手提電腦",None,2551,5780.0
165,H0661001_S_NBOHPA-14-ck0110TU,14-ck0110TU 5EF56PA#AB5- Scarlet Red,None,2001,3588.0
166,H5899002_S_NS13A1HK089P,"AVITA 13"" N4200 手提電腦 (丁香紫)",None,2051,2899.0
167,H0762001_S_Acer-SF515-51T-57PL-007160304,"Swift 5 筆記型電腦 (15.6"", i5-8265U, 8GB RAM, 256GB SSD, Win 10) SF515-51T-57PL",8GB+256GB,3001,7498.0
168,H6603001_S_IdeaPad_S130_14IGM_81J2001AHH,"IdeaPad_S130-14IGM 14"" HD N5000 4G 128G SHARE Win10 Home (灰色)",4G+128G,3301,3199.0
169,H6603001_S_IdeaPad_S130_14IGM_81J2001CHH,"IdeaPad_S130-14IGM 14"" HD N5000 4G 128G SHARE Win10 Home (藍色)",4G+128G,3301,3199.0
170,H6603001_S_REMAX_RLB-101_W,RLB-101_W,None,251,988.0
171,H5866001_S_MQD32ZPAPPLECARE,13 吋 MacBook Air 1.8GHz 處理器 128GB 儲存空間 (選取除舊服務),8G+128GB,3251,9456.0
172,H6603001_S_ASUS_E203MA_PE4005T,"ASUS E203MA 11.6"" HD N4000 4G 128G WIN10 Home (粉紅色)",203M+4G+128G,2751,3299.0
173,H6603001_S_ASUS_E203MA_WE4003T,"ASUS E203MA 11.6"" HD N4000 4G 128G WIN10 Home (白色)",203M+4G+128G,2751,3299.0
174,H6997001_S_LENOVO_I7_T430_16GB,Lenovo 聯想 ThinkPad T430 i7-3320M CPU 16GB RAM 256GB SSD 手提電腦 notebook computer [官方認證翻新機],3320M+16GB+256GB,2501,5300.0
175,H6603001_S_Aspire_SF114_32_P7FY_NX_GXTCF_003,"SF114 14"" FHD N5000 4G 128G SHARE Win10 S mode (金色)",4G+128G,3001,2999.0
176,H0800001_S_U728U5B,U728U5B 日本制造手提電腦[HKTVmall獨家3年保養] i5-8250 8GB 256GB WIN10 Home 1.12Kg,8GB+256GB,2551,7998.0
177,H6603001_S_Samsung_NP900X3J_K02HK,"NP900X3J-K02HK 13.3"" FHD i5-7200u 8G 256G SHARE Win10 Home (銀色)",8G+256G,3351,6899.0
178,S1076001_S_193386316664,LENOVO C340-14IWL (81N4003LHH) 手提電腦,None,3301,7500.0
179,H6603001_S_ASUS_E203MA_AE4001T,"ASUS E203MA 11.6"" HD N4000 4G 128G WIN10 Home (灰色)",203M+4G+128G,2751,3299.0
180,H6781001_S_WL-UG69PD2,DisplayLink USB-C 5K輸出多功能擴展基座 60W PD USB-PD 供電 HDMI / DisplayPort 雙4K輸出,None,1201,1580.0
181,H6603001_S_ASUS_UX431FN_SP8201T,"ASUS UX431FN-SP8201T 14"" IPS 1920x1080 i5-8265u 8G 256G MX150-2G Win10 Home",8G+256G+2G,2751,7199.0
182,H6603001_S_Samsung_NP530XBB_K03HK,"NP530XBB-K02 13.3"" FHD N5000 4G 128G SHARE Win10 Home (黑色)",4G+128G,3351,3699.0
183,H5899002_S_NS12A1HK002P,"AVITA 12.5"" i5-7Y54 手提電腦 (花漾粉紅)",None,2051,4799.0
184,H5023001_S_20HN0041HH,ThinkPad X270 i5 輕便商務手提電腦 (20HN0041HH) - 開箱機,None,3301,6699.0
185,H0661010_S_ALW15C-R5982U-S-W10,"15 R4 (i9/32G/1T+512G/GTX1080MQ/15.6"")",32G+512G+1080M,2851,25599.0
186,H0800001_S_P728T501B,P728UT501B 日本制造手提電腦[HKTVmall獨家3年保養] i5-8250 8GB 256GB WIN10 Home 360° Foldable 2 in 1 device,8GB+256GB,2551,8998.0
187,H0762001_S_Acer-SF314-56G-51AX-007160311,"Swift 3 筆記型電腦 (14"", i5-8265U, 8GB RAM, 125GB SSD, 1TB HDD, MX150, Win 10) SF314-56G-51AX",8GB+125GB+56G,3001,5598.0
188,H6202001_S_Lat3490-i5-8G-256GSSD,Latitude 3400 i5-8265U/8G/256G SSD (現貨),8G+256G,2951,6000.0
189,H6603001_S_Samsung_NP530XBB_K02HK,"NP530XBB-K02 13.3"" FHD N5000 4G 128G SHARE Win10 Home (粉紅色)",4G+128G,3351,3699.0
190,H6603001_S_Samsung_NP900X3J_K01HK,"NP900X3J-K01HK 13.3"" FHD i7-7500u 8G 512G SHARE Win10 Home (銀色)",8G+512G,3351,7699.0
191,H6603001_S_Samsung_NP530XBB_K01HK,"NP530XBB-K01 13.3"" FHD N5000 4G 128G SHARE Win10 Home  (白色)",4G+128G,3351,3699.0
192,H6781001_S_WL-UG69DK1,5K Dual 4K DisplayLink USBC 多功能擴展基座 HDMI / DisplayPort 輸出 千兆網口 USB hub UG69DK1 原裝行貨 一年保養,None,1201,1188.0
193,H0661010_S_ALW15C-R5782-B-W10,"15 R4 (i7/16G/1T+256G/GTX1070OC/15.6"")",16G+256G,2851,15999.0
194,S1076001_S_192940033245,IDEAPAD 330S-15IKB  筆記型電腦,None,3301,6173.0
195,H6603001_S_Acer_SF515_51T_570G_NX_H69CF_001,"SF515 15.6"" IPS FHD i5-8265u 8G 256G SHARE Win10 Home (藍色)",8G+256G,3001,7299.0
196,H6628001_S_GF63-8SC,MSI GF63 8RC 電競筆電,None,2901,10800.0
197,H5023002_S_81MU00B8HH,IdeaPad S145 14吋 獨顯 i5 8G 256 SSD 手提電腦 (81MU00B8HH),8G+81M,3301,5199.0
198,H0800001_S_ST-PLUS-X01,ST-PLUS-X01 15.6吋 專業電競筆電 i7-7700HQ GTX1050 256GB SSD + 1000GB HDD,256GB+1000GB,301,6298.0
199,H0661010_S_13L-R2500-P-W10,"Inspiron 13-5370 Pink (i3/8G/256G/13.3"" IPS)",8G+256G,2951,5749.0
200,H5899002_S_NS13A1HK093P,"AVITA 13"" N4200 手提電腦 (澄空藍  )",None,2051,2899.0
201,S1076001_S_193386457664,C340-14IWL (81N4005FHH) 筆記型電腦,None,3301,8580.0
