,product_index,username,rate_date,user_rate,buyer_comment
24,S1116001_S_7869,Miray S, 2019-09-21 ,5,Nice fit and has a nice glossy finish allowing the computer to look cleaner. 
25,S1116001_S_7869,Chung shing Lau, 2019-06-26 ,5,水晶透明保護外殼購買后不錯
26,S1116001_S_7869,Yam Ming Tam, 2019-06-13 ,4,還好
27,S1116001_S_7869,L Shi, 2019-04-02 ,5,"服務好, 價格合理, 實話實說, 不欺詐,  我收到的物品有瑕疵, Bluebeach 答應立該跟進, 期待Bluebeach 14個工作天內, 可以說得出做得到"
28,H0661001_S_NBOHPA-HPSTREAM11-ah113TU,Ika Yuanita, 2019-08-02 ,1,I received a defective product!
29,H0661001_S_NBOHPA-HPSTREAM11-ah113TU,Stanley Tse, 2019-07-16 ,5,"High quality built laptop with lowest price, best deal!"
30,H5807001_S_4895076203495,LEE CHAU HA, 2019-09-15 ,5,多功能，非常實用！
31,S1116001_S_7662,George Poon, 2019-09-21 ,4,Good packing and prompt delivery
32,S1116001_S_7662,展宜 容, 2019-08-02 ,5,美觀實用
33,S1116001_S_7662,Kwong Eric, 2019-03-27 ,5,Very fit for MacBook Pro 13 inch
34,H0661001_S_NBOHPA-14-ce1031TX,Vicki Ho, 2019-08-11 ,4,不錯！
35,H5023001_S_80U1002HHH_256,Ricky Lee, 2019-06-25 ,5,good
36,H6603001_S_Aspire_SF114_32_P1MD_NX_GXVCF_004,YUEN LING NGAN, 2019-05-24 ,5,客服不錯，比市面便宜，可靠。
37,H6603001_S_Aspire_SF114_32_P1MD_NX_GXVCF_004,henry chang, 2019-05-09 ,5,"買得安心, 價錢平"
38,H0762001_S_NS13A1HK087P-140160099,YC LIU, 2019-06-26 ,4,很满意。
39,S1076001_S_193268301191,Leung Dick, 2019-04-27 ,5,good
40,H5023001_S_80WK000SHH,先生 曾, 2019-06-26 ,5,"比預期新淨, 打機完全唔lag."
41,S1116001_S_8819,Wranky Leung, 2019-09-07 ,5,Good Goods!
42,H5807001_S_4895076203471,Lillian Chan, 2019-09-21 ,3,OCR 認字成功率大概6成而已
43,H5023001_S_80SW001NHH,Mary Tai, 2019-07-18 ,5,新機一樣～
44,S1116001_S_8809,Waiho Tse, 2019-09-18 ,3,支架有d鬆，風力唔算大
45,S1116001_S_7663,chan kt, 2019-05-25 ,2,"looks good and stable as described, however, very hard to adjust for a desired position, may be the stiff joints the reason for the stability, but I’m very anxious at first to adjust the angle - almost impossible to move the top or bottom panels due to stiff joints. and wondering if i have to loosening something first then tighten up when finish. A simple manual will do a great help but none instruction for how to at all. A quite good product just lacks a simple piece of paper."
46,S1116001_S_7663,Salina Wong, 2018-11-22 ,5,堅固， 實淨，好用
47,S1076001_S_193268289345,jedy wong, 2019-05-02 ,5,Speddy delivery 
48,H5393002_S_1000553,TING YEUNG NG, 2017-10-13 ,5,Good
49,H6603001_S_IdeaPad_S340_14IWL_81N7007XHH,Ricky H., 2019-10-01 ,5,好用，平靚正，新域達服務一流
50,H5023001_S_80QQ0014HH,KWOK HONG LEE, 2019-09-29 ,4,OK
51,H5023001_S_80QQ0014HH,Bee 劉, 2019-09-06 ,4,這個價錢超值了
52,H5023001_S_80QQ0014HH,eric cheng, 2017-10-18 ,5,0k
