,product_name,product_index,product_type,median_rates,mean_rates
20,IdeaPad 100-15IBD Core i3 入門手提電腦 (80QQ0014HH) - 高質陳列品,H5023001_S_80QQ0014HH,laptop,4.0,4.33
21,P30 Lite 6GB+128GB 藍色 香港行貨,H6588001_S_Huawei_P30Lite_Blue,smartphone,5.0,5.0
22,3G 智能手機 - A396 (粉紅色),H0972006_S_320,smartphone,1.0,2.0
23,"iPhone 7 - 128GB, 二手9成新 (100%正常運作)(平行進口)",H6725001_S_i7_R_128_3A_U,smartphone,5.0,4.33
24,WH-1000XM3 無線藍牙降噪耳罩式耳機-黑色 (平行進口),H5912001_S_SY0012-bk,smartphone,5.0,5.0
25,MOTO E4 PLUS（金色）(香港行貨),H5912001_S_MO0006_gd,smartphone,4.0,3.33
26,直立式 筆記本電腦支架 鋁合金 可調節厚度 節省空間 適用於Apple MacBook,S1116001_S_7662,laptop,5.0,4.67
27,Iphone XS Max/11 Pro Max 防窺 9H鋼化玻璃保護貼 隱形滿版2.5D(附贈 DIY 工具包) hoda2319,H5087001_S_hoda2319,smartphone,5.0,5.0
28,Nokia 106 Dual Sim 灰色(香港行貨),H6652001_S_Nokia_106_BK,smartphone,5.0,5.0
29,"Swift 3 筆記型電腦 (14"", i5-8265U, 8GB RAM, 128GB SSD, 1TB HDD, Win 10) SF314-56-52YM",H0762001_S_Acer-SF314-56-52YM-007160309,laptop,5.0,5.0
30,筆記本電腦升降支架 超高品質 鋁合金 可調節不同高度 適用於17寸以下筆記本電腦 Apple MacBook,S1116001_S_7663,laptop,3.5,3.5
31,P30 Lite 6GB+128GB 白色 香港行貨,H6588001_S_Huawei_P30Lite_White,smartphone,5.0,5.0
32,"Tab A 8"" 2019 2GB+32GB Wi-Fi 平板電腦 T290 銀色 香港行貨",H6588001_S_Samsung_TabA_8_2019_WiFi,tablet,5.0,5.0
33,A812 長者平安折合式手機/特大鈴聲字體/原裝行貨/黑色,H5683001_S_P1518,smartphone,2.0,2.0
34,"SF114 14"" FHD N5000 4G 128G SHARE Win10 S mode (銀色)",H6603001_S_Aspire_SF114_32_P1MD_NX_GXVCF_004,laptop,5.0,5.0
35,A3 4G LTE 5046I智能電話 (白)- Alcatel,H0775001_S_AL04,smartphone,1.0,1.0
36,Y9 2019 4GB+64GB 紫色 香港行貨,H6588001_S_Huawei_Y9_2019_Purple,smartphone,5.0,5.0
37,ZenFone Max Pro (M1) (ZB602KL) - 6GB RAM / 超長效 5000mAh 電池 / 支援 NFC (酷炫銀),H0972006_S_zenfone_6,smartphone,4.5,4.5
38,"Xiaomi 米家萬能遙控器 Remote x, mjykq01cm",H0577001_S_XIA00278,smartphone,1.5,1.5
39,"Fire HD 8 8th Gen 2018 8"" 16GB HD Display Tablet with Alexa Voice Conrtrol 黑色 (平行進口)",H5967001_S_hd8,tablet,4.5,4.5
40,Y700-15ISK Core i7 15.6寸電競手提電腦 (80NV006XHH_128) - 高質陳列品,H5023001_S_80NV006XHH,laptop,5.0,5.0
41,Tab 4 10 Plus TB-X704F 優質 10.1 吋平板電腦配備 (ZA2M0000HK) - 高質陳列品,H5023001_S_ZA2M0000HK,tablet,4.0,4.0
42,Z8，八核芯，全高清，4G雙卡雙待，一年保養！,H0778001_S_Z8,smartphone,2.5,2.5
43,GALAXY NOTE 8 DUAL 64GB N950FD（藍色）（平行進口）,H5912001_S_SAM0030_be,smartphone,4.0,4.0
44,Galaxy S10+ 8GB+128GB 幻鑽白色 香港行貨,H6588001_S_Samsung_S10P_128_White,smartphone,5.0,5.0
45,"STREAM 11-ah113TU 11.6"" 4NT27PA#AB5 Infinity Purple",H0661001_S_NBOHPA-HPSTREAM11-ah113TU,laptop,3.0,3.0
46,Miix 510-12ISK Core i5 256 SSD 2合1 平板電腦 (80U1002HHH_256)  - 高質陳列品,H5023001_S_80U1002HHH_256,tablet,5.0,5.0
47,Miix 510-12ISK Core i5 256 SSD 2合1 平板電腦 (80U1002HHH_256)  - 高質陳列品,H5023001_S_80U1002HHH_256,laptop,5.0,5.0
48,"iPhone 7 - 128GB, 二手9成9新 (100%正常運作)(平行進口)",H6725001_S_i7_R_128_1_U,smartphone,4.0,4.0
49,Caterpillar CAT B30 香港行貨一年保養,H5982001_S_catb30,smartphone,3.0,3.0
50,M5 Pro Wi-Fi 4GB+64GB 平板電腦 金色 香港行貨,H6588001_S_Huawei_M5Pro_Gold,tablet,5.0,5.0
51,"SF114 14"" FHD N5000 4G 128G SHARE Win10 S mode (粉紅色)",H6603001_S_Aspire_SF114_32_P69T_NX_GZPCF_003,laptop,5.0,5.0
52,HONOR 10 AI 雙鏡頭拍攝手機 (128GB) (原裝行貨) (幻夜黑),H0972006_S_Honor_10_Black,smartphone,5.0,5.0
53,ZenEar BT 真無線藍芽5.0 / 鈦金屬動圈單元 / IPX4 防水防汗認證,H0972006_S_ZenEar_BT,smartphone,1.0,1.0
54,Galaxy A70 6GB+128GB 黑色 香港行貨,H6588001_S_Samsung_A70_6_Black,smartphone,5.0,5.0
55,2720 Flip 4G 功能手機 黑色 香港行貨,H6588001_S_Nokia_2720Flip_Black,smartphone,5.0,5.0
56,ONE PLUS 7 Pro 8+256GB-黑（平行進口）,H5912001_S_OP0010,smartphone,4.0,4.0
57,Galaxy S10+ 8GB+512GB 陶瓷白色 香港行貨,H6588001_S_Samsung_S10P_512_White,smartphone,5.0,5.0
58,Iphone XR/iPhone 11 抗藍光 隱形滿版9H鋼化玻璃保護貼(附贈 DIY 工具包),H5087001_S_hoda1855,smartphone,5.0,5.0
59,紅米 7A 32GB 磨砂黑（平行進口）,H5300001_S_AXMM1903C3EG2-32GBMBK,smartphone,5.0,5.0
60,EKTRA（香港行貨）,H5912001_S_EK0001,smartphone,5.0,5.0
61,M5 Lite 8 LTE 3GB+32GB 平板電腦 深空灰色 香港行貨,H6588001_S_Huawei_M5_Lite_8_LTE,tablet,4.0,4.0
62,Galaxy S10 8GB+128GB 幻鑽白色 香港行貨,H6588001_S_Samsung_S10_128_White,smartphone,5.0,5.0
63,V40 ThinQ 6GB+128GB 鉑鋼灰（平行進口）,H5300001_S_ALGV405EBW6-128GBNPGY,smartphone,5.0,5.0
64,Y7 Pro 2019 3GB+32GB 幻夜黑色 香港行貨,H6588001_S_Huawei_Y7_Pro_2019_Black,smartphone,5.0,5.0
65,Galaxy A70 6GB+128GB 白色 香港行貨,H6588001_S_Samsung_A70_6_White,smartphone,5.0,5.0
66,GOKI CXX-1238 雙USB輸出金屬移動電源10000mAh,H0795001_S_CXX1238_BK,smartphone,5.0,5.0
67,太空灰 WL-UHP3405M Thunderbolt 3 USB-C 轉接器,H5393002_S_1000553,laptop,5.0,5.0
68,紅米 Note 7 4GB+64GB 亮黑色（平行進口）,H5300001_S_AXMM1901F7E4-64GBBK,smartphone,5.0,5.0
69,Samsung Staedtler Noris Digital Samsung S-Pen 特別版,H6391001_S_Noris,tablet,5.0,5.0
70,iPhone 6S Plus 更換顯示屏 - 上門服務（能正常顯示）,H6482001_S_132,smartphone,5.0,5.0
71,5.7吋全屏智能手機 K320t (黑色),H0972006_S_000163,smartphone,1.0,1.0
72,Honor 8A 3GB+32GB 黑色（平行進口）,H5300001_S_AHUJAT-AL003-32GBBK,smartphone,1.0,1.0
73,8110 4G LTE 雙卡雙核2MP 手提智能電話 - 黑色（平行進貨）,H5393001_S_1001277,smartphone,1.0,1.0
74,AD300 Android 語音專業辭典機,H5807001_S_4895076203495,laptop,5.0,5.0
75,"E558K503B 日本制造15.6""全高清 手提電腦 i5-8250U 8GB 256GB SSD WIN10 Home",H0800001_S_E558K503B,laptop,3.0,3.0
76,V15 Pro 6GB+128GB 水晶藍色 香港行貨,H6588001_S_Vivo_V15Pro_Blue,smartphone,5.0,5.0
77,手提電腦鎖 筆記本電腦防盜 4位組合安全密碼鎖 鋼索鎖,S1116001_S_8819,laptop,5.0,5.0
78,iPhone 7 Plus 更換顯示屏 - 上門服務（不能正常顯示）,H6482001_S_177,smartphone,5.0,5.0
79,iPhone XS Max/11 Pro Max 疏油高透光 隱型滿版9H鋼化玻璃貼 (附DIY工具包),H5087001_S_hoda1879,smartphone,5.0,5.0
80,(13.3 Pentium N4200 4GB RAM 128GB SSD Win10) AVITA Liber 13.3 筆記型電腦,H0762001_S_NS13A1HK087P-140160099,laptop,4.0,4.0
81,P30 8GB+128GB 黑色 香港行貨,H6588001_S_Huawei_P30_Black,smartphone,5.0,5.0
82,Galaxy A40s 6GB/64GB A3050 金色 (水貨),H6588002_S_Samsung_A40s_Gold_CN,smartphone,5.0,5.0
83,筆記本散熱器 大風量筆記本散熱底座 手機散熱器 帶可調節支架的USB風扇,S1116001_S_8809,laptop,3.0,3.0
84,L1 學習機教材套裝,H5807001_S_4895076203471,laptop,3.0,3.0
85,8110 4G雙卡雙待雙核智能手機電話黃色,H6302001_S_w1000047,smartphone,1.0,1.0
86,OnePlus 7 8GB+256GB 曜岩灰色 平行進口 中國版,H6588001_S_Oneplus_7_8_256_Black,smartphone,5.0,5.0
87,(新款) 9 Plus 2.4G/5G 4K無線 同屏器 HDMI投影 手機 平板 電視無線影音傳輸器,H0972006_S_g9_plus,smartphone,5.0,5.0
88,Legion Y520-15IKBN Core i5 配備GTX1050 顯卡電競手提電腦 (80WK000SHH) - 高質陳列品,H5023001_S_80WK000SHH,laptop,5.0,5.0
89,紅米 6 金色 4G 64G Rom (香港行貨，小米1年保養),H0610012_S_241-75-A00061-1,smartphone,5.0,5.0
90,"iPhone 7 - 32GB, 二手9成新 (100%正常運作)(平行進口)",H6725001_S_i7_R_32_3A_U,smartphone,4.0,4.0
91,Iphone XS Max/11 Pro Max 抗藍光 隱形滿版9H鋼化玻璃保護貼(附贈 DIY 工具包),H5087001_S_hoda1886,smartphone,5.0,5.0
92,iQOO 8GB+128GB 藍色 平行進口 中國版,H6588001_S_Vivo_iQOO_8_128_Blue,smartphone,5.0,5.0
93,圓盤螢幕觸控筆- 智能電話/平板電腦適用-灰色,H6672002_S_Round-Disc-Stylus-Black,tablet,5.0,5.0
94,OnePlus 6t 8GB+128GB  亮瓷黑色 平行進口 中國版,H6588001_S_OP6t_8_128MirBlk,smartphone,5.0,5.0
95,OnePlus 6 8GB+128GB 白色 平行進口 中國版,H6588001_S_OP6_8_128_White,smartphone,5.0,5.0
96,"iPhone SE - 64GB, 二手9成9新 (100%正常運作)(平行進口)",H6725001_S_iSE_W_64_1_U,smartphone,5.0,5.0
97,X1，Qualcomm四核，Sony鏡頭，一年保養！,H0778001_S_X1_BK,smartphone,4.0,4.0
98,iPhone 6S Plus 上門更換電池服務(包電池),H6482001_S_150,smartphone,5.0,5.0
99,OnePlus 7 Pro 8GB+256GB 星霧藍色 平行進口 中國版,H6588001_S_OnePlus_7_8_256_NebulaBlue,smartphone,5.0,5.0
100,LD8X iPhone 電視同屏線，輕鬆在大屏幕中暢玩遊戲邊充電，高清不卡頓，聲畫同步,H0972006_S_ld8x,smartphone,3.0,3.0
101,Q6+ M700DSN Black 64GB-紫（香港行貨）,H5912001_S_LG0011-pr,smartphone,1.0,1.0
102,Pavilion 14-ce1031TX 5MX39PA#AB5- Tranquil Pink,H0661001_S_NBOHPA-14-ce1031TX,laptop,4.0,4.0
103,ThinkPad X1 Carbon G4 纖薄高速 14 吋商用 ULTRABOOK (20FB0031HH) - 高質陳列品,H5023001_S_20FB0031HH,laptop,5.0,5.0
104,Y7 Pro 2019 3GB+32GB 珊瑚紅 香港行貨,H6588001_S_Huawei_Y7_Pro_2019_Red,smartphone,5.0,5.0
105,LENOVO IP S530-13IWL 手提筆記型電腦,S1076001_S_193268301191,laptop,5.0,5.0
106,XD88 Super 學習機,H5807001_S_4895076203440,laptop,4.0,4.0
107,Y95 4GB+64GB 星夜黑 香港行貨,H6588001_S_Vivo_Y95_Black,smartphone,5.0,5.0
108,iPhone 7 上門更換電池服務(包電池),H6482001_S_172,smartphone,5.0,5.0
109,IdeaPad 710S-13ISK Core i5 配SSD硬盤筆記本電腦 (80SW001NHH) - 高質陳列品,H5023001_S_80SW001NHH,laptop,5.0,5.0
110,Caterpillar CAT S41 香港行貨一年保養,H5982001_S_cats41,smartphone,5.0,5.0
111,NEX 雙屏版 10+128GB-藍（香港行貨）,H5912001_S_VI0011,smartphone,5.0,5.0
112,V15 Pro  6+128GB-藍（香港行貨）,H5912001_S_VI0012-be,smartphone,5.0,5.0
113,U12 Life 暮光紫 (4GB RAM + 64GB ROM),H0775012_S_htcu12ltwp,smartphone,5.0,5.0
114,iPhone X/XS/11 Pro  疏油高透光 隱型滿版9H鋼化玻璃貼 (附DIY工具包),H5087001_S_hoda9617,smartphone,5.0,5.0
115,OnePlus 7 8GB+256GB 珐琅红色 平行進口 中國版,H6588001_S_Oneplus_7_8_256_Red,smartphone,5.0,5.0
116,香港行貨(珊瑚橙色)GALAXY A20 A205 3GB RAM 32GB ROM,H7007001_S_SAMA205H01OG01,smartphone,4.0,4.0
117,"IdeaPad S340-14IWL 14"" IPS FHD i5-8265u 8G 256G+1TB SHARE Win10 Home",H6603001_S_IdeaPad_S340_14IWL_81N7007XHH,laptop,5.0,5.0
118,Galaxy S10+ 8GB+128GB 幻鑽黑色 香港行貨,H6588001_S_Samsung_S10P_128_Black,smartphone,5.0,5.0
119,iPhone SE A1723 128GB 金色（平行進口）,H5300001_S_AAEIPA1723128GBGD,smartphone,4.0,4.0
120,Presidio Stay Clear iPhone 11 Pro Case,H5892002_S_129890-5085,smartphone,3.0,3.0
121,安博科技 UPAD PRO 4G（送套）,H6800001_S_BGT0026,tablet,5.0,5.0
122,iPhone XS 512GB-金（香港行貨）,H5912001_S_AP0023-gd,smartphone,5.0,5.0
123,IP S530-13IWL (81J7001LHH)手提筆記型電腦,S1076001_S_193268289345,laptop,5.0,5.0
124,DMP-P8 iPod基座揚聲器(香港行貨),H5912001_S_SN0001,smartphone,1.0,1.0
125,ZenFone 4 Selfie (ZD553KL)(黑)  [平行進口],H0775001_S_ZF4SELBLK,smartphone,1.0,1.0
126,4G-LTE 8吋智能手機 - T8,H0972006_S_T8,smartphone,1.0,1.0
127,"iPhone 6 - 16GB, 二手9成新 (100%正常運作)(平行進口)",H6725001_S_i6_W_16_3A_U,smartphone,5.0,5.0
128,Nova 4 8GB+128GB 藍色 香港行貨,H6588001_S_Nova_4_Blue,smartphone,5.0,5.0
129,Galaxy S10e 6GB+128GB 幻鑽黑色 香港行貨,H6588001_S_Samsung_S10e_Black,smartphone,5.0,5.0
130,T8 128GB（藍色）（香港行貨）,H5912001_S_ME0001_be,smartphone,1.0,1.0
131,"ZenFone 3 Max 5.5"" ZC553KL (灰)(平行進口)",H0775001_S_30151GY,smartphone,5.0,5.0
132,Galaxy S10 8GB+128GB 幻鑽綠色 香港行貨,H6588001_S_Samsung_S10_128_Green,smartphone,5.0,5.0
133,U12+ 6GB+128GB 黑色 香港行貨,H6588001_S_HTC_U12P_Black,smartphone,5.0,5.0
134,938SP 10寸通話平板電腦,H5683002_S_P2224,tablet,5.0,5.0
135,iPad 6th Dux Plus Duo (Pencil 或 Crayon 儲存槽) BLACK  STM-222-200JW-01,H0710001_S_STM-222-200JW-01,tablet,1.0,1.0
136,BlackBerry Key 2 LE 64GB Black 香港行貨一年保養,H5982001_S_blackberrykey2le64gbblk,smartphone,5.0,5.0
137,"NOTEBOOK FLASH 13.3"" Pentium N5000 筆記簿型電腦 NP530XBB-K02HK",H0762001_S_NP530XBB-K02HK-800160053,laptop,5.0,5.0
138,Galaxy A70 8GB+128GB 黑色 香港行貨,H6588001_S_Samsung_A70_8_Black,smartphone,5.0,5.0
139,A1 32GB（黑色）（平行進口）,H5912001_S_Xa0015_bk,smartphone,1.0,1.0
140,"小米平板 4 8.0"" LTE（一年保養）4+64GB 金色",H5300001_S_FXMM1806D9E464GBGD4,tablet,0.0,0.0
141,"Galaxy Tab A 10.1 "" WiFi T510 2GB+32GB 黑色（平行進口）",H5300001_S_FSAT510232GBBK,tablet,0.0,0.0
142,Tab S6 6GB+128GB Wi-Fi 平板電腦 T860 灰色 香港行貨,H6588001_S_Samsung_TabS6_WiFi_128_GY,tablet,0.0,0.0
143,"Galaxy Tab A 10.1 "" LTE T515 2GB+32GB 黑色（平行進口）",H5300001_S_FSAT5152-32GBBK,tablet,0.0,0.0
144,Galaxy Tab S5e (LTE) (T725),H0762001_S_Galaxy-Tab-S5e-LTE-T725-800670050,tablet,0.0,0.0
145,MediaPad M5 lite 平板 4+64GB（香港行貨）,H5912001_S_T0046,tablet,0.0,0.0
146,Galaxy Tab S5e (Wi-Fi),H0762001_S_Galaxy-Tab-S5e-Wifi-T720-800670048,tablet,0.0,0.0
147,Surface Pro 6 8代i7 16G 512 SSD 二合一平板電腦 Windows 10 專業版 (LQJ-00022) 送 實體鍵盤保護蓋,H5023002_S_LQJ-00022,tablet,0.0,0.0
148,Surface Pro 6 8代i7 16G 512 SSD 二合一平板電腦 Windows 10 專業版 (LQJ-00022) 送 實體鍵盤保護蓋,H5023002_S_LQJ-00022,laptop,0.0,0.0
149,"Honor Pad 2 8.0"" LTE（一年保養）32GB 金色",H5300001_S_FHUKOB-L0932GBGD4,tablet,0.0,0.0
150,"Galaxy Tab S5e 10.5"" Wi-Fi T720 4GB+64GB 黑色（平行進口）",H5300001_S_FSAT7204-64GBBK,tablet,0.0,0.0
151,Miix 510-12ISK Core i5 2合1 平板電腦 (80U1002HHH)  - 高質陳列品,H5023001_S_80U1002HHH,tablet,0.0,0.0
152,Miix 510-12ISK Core i5 2合1 平板電腦 (80U1002HHH)  - 高質陳列品,H5023001_S_80U1002HHH,laptop,0.0,0.0
153,Tab S5e 6GB+128GB WiFi 銀色 香港行貨,H6588001_S_Samsung_TabS5e_wifi_128GB_Silver,tablet,0.0,0.0
154,M5 Lite Wi-Fi 4GB+64GB 平板電腦 灰色 香港行貨,H6588001_S_Huawei_M5_Lite_Grey,tablet,0.0,0.0
155,Miix 700 12吋 2合1平板電腦配備 2K FHD+ IPS 觸屏及240G SSD閃存 (80QL008RHH_M7) - 高質陳列品,H5023001_S_80QL008RHH_M7,tablet,0.0,0.0
156,Miix 700 12吋 2合1平板電腦配備 2K FHD+ IPS 觸屏及240G SSD閃存 (80QL008RHH_M7) - 高質陳列品,H5023001_S_80QL008RHH_M7,laptop,0.0,0.0
157,Miix 700 12吋 2合1平板電腦配備 2K FHD+ IPS 觸屏及240G SSD閃存 (80QL008RHH_M7) - 高質陳列品,H5023001_S_80QL008RHH_M7,laptop,0.0,0.0
158,"Galaxy Tab S5e 10.5"" LTE T725 4GB+64GB 銀色（平行進口）",H5300001_S_FSAT7254-64GBS,tablet,0.0,0.0
159,"Honor Pad 2 9.6"" LTE 3GB+32GB 金色（平行進口）",H5300001_S_FHUAGS-L0932GBGD4,tablet,0.0,0.0
160,行貨 最新15.6吋 4K UHD 超高清窄邊框可攜式 USB3.1 Type-C 一線通 供電螢幕 GS156UM 保養一年,S1235001_S_GS70101,tablet,0.0,0.0
161,Galaxy Tab A 8 with S Pen 3GB+32GB LTE 黑色 香港行貨,H6588001_S_Samsung_TabA_8_SPen_LTE_Black,tablet,0.0,0.0
162,"12"" 液晶電子手寫板可局部擦寫",H6623001_S_GT1005_P,tablet,0.0,0.0
163,"小米平板 4 8.0"" Wi-Fi 64GB 黑色（平行進口）",H5300001_S_FXMM1806D9W64GBBK4,tablet,0.0,0.0
164,"小米平板 4 8.0"" LTE（一年保養）4+64GB 黑色",H5300001_S_FXMM1806D9E464GBBK4,tablet,0.0,0.0
165,TAB 4 8 PLUS LTE  (ZA2F0051HK) - 高質陳列品,H5023001_S_ZA2F0051HK,tablet,0.0,0.0
166,Yoga 920 8代 i5 8G (80Y7000NHH) - 開箱機,H5023001_S_80Y7000NHH,tablet,0.0,0.0
167,Yoga 920 8代 i5 8G (80Y7000NHH) - 開箱機,H5023001_S_80Y7000NHH,laptop,0.0,0.0
168,Tab S6 8GB+256GB Wi-Fi 平板電腦 T860 灰色 香港行貨,H6588001_S_Samsung_TabS6_WiFi_256_GY,tablet,0.0,0.0
169,Aegir 智能筆 - 紫色【原裝行貨】,H0183001_S_Aegir-Purple,tablet,0.0,0.0
170,M5 LTE 4GB+64GB 平板電腦 金色 香港行貨,H6588001_S_Huawei_M5_Gold,tablet,0.0,0.0
171,Aegir 智能筆 - 綠色【原裝行貨】,H0183001_S_Aegir-Teal,tablet,0.0,0.0
172,"小米平板 4 8.0"" Wi-Fi 64GB 金色（平行進口）",H5300001_S_FXMM1806D9W64GBGD,tablet,0.0,0.0
173,Zagg Universal FLEX Keyboard with Stand,H5688002_S_DG049300147,tablet,0.0,0.0
174,多功能底座 iPad / 平板 / 手機 *橙色1個*,H0710001_S_NS-ORG,tablet,0.0,0.0
175,多功能底座 iPad / 平板 / 手機 *橙色1個*,H0710001_S_NS-ORG,smartphone,0.0,0.0
176,行貨 最新15.6吋輕觸式 4K UHD超高清窄邊框可攜式 USB3.1 Type-C 一線通 供電螢幕 GS156UT 保養一年,S1235001_S_GS70102,tablet,0.0,0.0
177,Lenovo TAB4 10 WIFI (TB-X304F) (2G+16G)  (ZA2J0063HK) - 全新機,H5023002_S_ZA2J0063HK,tablet,0.0,0.0
178,Impact Protection Case For Apple Watch S3 防撞保護套 ( S2 適用 ) 藍色,H6201001_S_B01LZG3C712016,tablet,0.0,0.0
179,智能平板 P10 (TB-X705F WIFI) 黑色,H0775001_S_TB_X705F,tablet,0.0,0.0
180,"12"" 液晶電子手寫板可局部擦寫",H6623001_S_GT1005_BLK,tablet,0.0,0.0
181,Kamvas Pro 20,H6795001_S_Kamvaspro20,tablet,0.0,0.0
182,9.7-inch iPad Balance FOLIO METALLIC Cases,H5892002_S_121948-6009,tablet,0.0,0.0
183,"TAB 4 8"" PLUS LTE 64GB 8704X-白(香港行貨)",H5912001_S_T0033_bk,tablet,0.0,0.0
184,平板4 8英寸平板電腦WIFI版 4G+64GB（平行進口）,H5912001_S_T0043_bk,tablet,0.0,0.0
185,智能平板 M10 (TB-X605L LTE) 黑色,H0775001_S_TB_X605L,tablet,0.0,0.0
186,鋁金屬平板電腦座 - 黑色,S1076001_S_736211532176,tablet,0.0,0.0
187,DUX iPad 6th 5th Gen 防撞保護套 鮮紅色,H0710001_S_STM-222-160JW-29,tablet,0.0,0.0
188,Alldocube iPlay 8 16GB,H5189001_S_Alldocube-iPlay8-16GB,tablet,0.0,0.0
189,Lenovo K5 Play 智能手機,S1076001_S_193268721173,tablet,0.0,0.0
190,Alldocube M8 32GB,H5189001_S_Alldocube-M8-32GB,tablet,0.0,0.0
191,Alldocube M5X 64GB,H5189001_S_Alldocube-M5X-64GB,tablet,0.0,0.0
192,安博科技 UPAD PRO 4G (台灣版),H6800001_S_BGT0027,tablet,0.0,0.0
193,"Honor Pad 5 10.1"" LTE (全網通版) 4GB+64GB 藍色（平行進口）",H5300001_S_FHUAGS2-AL00HN4-64GBB,tablet,0.0,0.0
194,X (64GB) (2.5K Super AMOLED 平板電腦) (原裝行貨),H0972006_S_cube_x_64gb,tablet,0.0,0.0
195,Lenovo K5 Play 智能手機,S1076001_S_PADB0077HK,tablet,0.0,0.0
196,HS610,H6795001_S_HS610,tablet,0.0,0.0
197,"LENOVO TB-8504F TAB4 8""HD WIFI 平板電腦-BLACK",S1076001_S_191376165018,tablet,0.0,0.0
198,INSPIROY Q11K V2,H6795001_S_Q11v2,tablet,0.0,0.0
199,柔韌彈性防撞 微重量 laptop / PC tablet 電腦袋(13.3inches) 迪士尼米奇 4562358113567,H5087001_S_pccase3567,tablet,0.0,0.0
200,Tab S4 4GB+64GB LTE 黑色 香港行貨,H6588001_S_Samsung_TabS4_LTE_64GB_Black,tablet,0.0,0.0
201,BlueLounge Mika 鋁銀色,H0710001_S_MA-AL,tablet,0.0,0.0
202,LENOVO TAB M10 Qualcomm Snapdragon 平板電腦 SLATE BACK LTE,S1076001_S_192940573567,tablet,0.0,0.0
203,Lenovo TB-8704X TAB 4 8 Plus LTE (ZA2F0051HK) 平板電腦,S1076001_S_191376403783,tablet,0.0,0.0
204,RG910 - IP68防水防塵認證 / MIL-STD 810G防摔 / 可戴上手套或濕手操作平板電腦,H0972006_S_RG910,tablet,0.0,0.0
205,LENOVO TB-X705L TAB P10 LTE 平板電腦 BLACK,S1076001_S_192651498104,tablet,0.0,0.0
206,Galaxy Tab S4 WiFi 256GB - 黑色,H0762001_S_Tab-S4-Wifi-T830-256GB-BK-800670038,tablet,0.0,0.0
207,"12"" 液晶電子手寫板可局部擦寫",H6623001_S_GT1005_BLU,tablet,0.0,0.0
208,Alldocube X 128GB,H5189001_S_Alldocube-X-128GB,tablet,0.0,0.0
209,BlueLounge Mika 純白色,H0710001_S_MA-WH,tablet,0.0,0.0
210,多功能底座 iPad / 平板 / 手機 綠色 *綠色1個*,H0710001_S_NS-GRN,tablet,0.0,0.0
211,Tab S4 4GB+64GB LTE 灰色 香港行貨,H6588001_S_Samsung_TabS4_LTE_64GB_Gray,tablet,0.0,0.0
212,Kamvas Pro 22,H6795001_S_kamvaspro22,tablet,0.0,0.0
213,K8 3GB/32GB 智能手機,S1076001_S_PA8B0021HK,tablet,0.0,0.0
